JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2447941.08,13.7,,,Vis.,PEX,,,,,,,,Z,,,,V1341 LMC,,STD,,,,
2447942.03,13.8,,,Vis.,PEX,,,,,,,,Z,,,,V1341 LMC,,STD,,,,
2447945.1,<13.9,,,Vis.,PEX,,,,,,,,Z,,,,V1341 LMC,,STD,,,,
2449414.9100,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449419.8900,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449423.8800,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449431.8600,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449446.8400,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449448.8800,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449453.8800,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449456.8400,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449472.8100,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449476.8300,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449485.8200,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449500.7900,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449510.8000,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449521.2600,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449523.2600,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449531.8000,<12.5,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449539.2600,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449545.2600,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449546.2400,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449553.2600,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449571.2300,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449574.2500,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449575.2200,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449581.2300,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449596.2300,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449623.1700,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449630.1600,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449636.1400,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449650.9646,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449657.9167,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449679.9528,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449688.1000,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449700.0903,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449709.9500,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449717.9521,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449718.9410,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449730.1104,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449737.9021,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449751.8979,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449772.9076,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449778.8729,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449783.8875,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449807.9063,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449813.8222,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449835.8410,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449855.7924,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449862.7965,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449868.8146,<12.5,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449873.2514,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449892.2500,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449902.2528,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449919.2549,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449929.2486,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449948.2201,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449979.1653,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2449996.1660,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450018.9688,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450032.9632,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450042.0993,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450049.9375,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450065.9424,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450076.9424,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450101.9340,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450106.9069,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450127.8889,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450136.8750,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450153.8618,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450162.8438,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450189.8285,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450196.8174,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450218.8111,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450251.2132,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450263.2486,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450288.2278,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450302.2326,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450307.2014,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450347.1785,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450369.9417,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450392.1292,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450416.9347,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450425.0500,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450433.9215,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450454.9292,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450456.9243,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450490.9007,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450505.8701,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450517.8681,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450541.8382,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450568.8389,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450634.2501,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450667.2361,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450675.2188,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450691.2042,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450728.1667,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2450744.1188,<13.0,,,Vis.,JA,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451725.3917,<14.2,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451734.4000,<15.0,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451737.3889,<15.0,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451811.3701,<13.6,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451812.3396,<13.6,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451818.3201,<13.5,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451819.2764,<13.5,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451820.2743,<13.7,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451822.2722,<13.7,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451825.2701,<13.8,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451831.2854,<13.0,,,Vis.,PEX,M,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451832.2681,<12.8,,,Vis.,PEX,M,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451833.2667,<12.8,,,Vis.,PEX,M,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451834.2667,<13.2,,,Vis.,PEX,M,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451835.2896,<13.4,,,Vis.,PEX,M,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451836.2771,<13.5,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451837.2771,<13.2,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451839.2632,<13.8,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451840.2632,<13.8,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451841.2667,<13.8,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451842.2694,<14.0,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451843.0118,<14.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2451843.2653,<14.0,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451845.2722,<13.8,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451846.95,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2451848.2743,<13.8,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451850.2639,<13.8,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451852.2903,<13.8,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451853.2639,<13.8,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451860.2632,<12.7,,,Vis.,PEX,M,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451867.1563,<15.3,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451868.2694,<15.5,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451869.0743,<15.3,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451870.0708,<15.3,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451870.9992,<14.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2451871.2576,<15.5,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451873.2507,<15.3,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451874.2368,<15.3,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451875.9688,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2451876.9652,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2451878.0646,<15.3,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451879.0639,<15.3,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451895.9896,<14.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2451897.9868,<14.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2451898.9861,<14.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2451903.9958,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2451911.2569,<15.5,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451912.2542,<15.5,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451913.2604,<15.5,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451914.2576,<15.3,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451919.2875,<14.0,,,Vis.,PEX,M,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451919.9965,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2451923.0785,<15.0,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451924.0549,<15.3,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451925.0479,<15.0,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451929.0931,<15.0,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451930.0549,<15.4,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451932.2389,<15.3,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451937.2632,<15.0,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451942.0410,<15.0,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451943.0403,<14.8,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451943.0424,14.4,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451944.0854,<14.8,,,Vis.,PEX,M,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451948.2715,<14.0,,,Vis.,PEX,M,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451951.0958,<14.2,,,Vis.,PEX,M,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451952.0313,<15.0,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451952.9674,<14.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2451953.0236,<15.3,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451954.0285,<15.3,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451959.0014,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2451961.9535,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2451967.0285,<15.0,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451968.0306,<15.0,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451970.0146,<14.8,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451972.0146,<14.5,,,Vis.,PEX,M,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451979.0813,<14.0,,,Vis.,PEX,M,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451980.0424,<14.5,,,Vis.,PEX,M,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451980.9618,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2451982.0368,<15.0,,,Vis.,PEX,,,,,,,,V,,,,V1341 LMC,,STD,,,,
2451983.9438,<14.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2451991.9264,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2452012.9493,<14.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2452023.9792,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2452025.9688,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2452031.9403,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2452042.9208,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2452048.9208,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2452320.011,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2452345.0332,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2452349.0313,<13.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2452356.9528,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2452367.991,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2452374.0125,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2452399.9382,<13.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2452581.9882,<13.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2452583.9722,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2452610.9792,<14.0,,,Vis.,PEX,,,,,,,,Z,,,,V1341 LMC,,STD,,,,
2452611.1819,<14.0,,,Vis.,PEX,,,,,,,,Z,,,,V1341 LMC,,STD,,,,
2452612.0125,<14.0,,,Vis.,PEX,,,,,,,,Z,,,,V1341 LMC,,STD,,,,
2452615.2764,<14.0,,,Vis.,PEX,,,,,,,,Z,,,,V1341 LMC,,STD,,,,
2452616.0792,<15.0,,,Vis.,PEX,,,,,,,,Z,,,,V1341 LMC,,STD,,,,
2452619.0222,<14.5,,,Vis.,PEX,W,,,,,,,Z,,,,V1341 LMC,,STD,,,,
2452623.2979,<15.0,,,Vis.,PEX,,,,,,,,Z,,,,V1341 LMC,,STD,,,,
2452629.0389,<14.0,,,Vis.,PEX,W,,,,,,,Z,,,,V1341 LMC,,STD,,,,
2452634.0806,<15.0,,,Vis.,PEX,,,,,,,,Z,,,,V1341 LMC,,STD,,,,
2452643.0528,<14.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2452652.2611,<15.0,,,Vis.,PEX,,,,,,,,Z,,,,V1341 LMC,,STD,,,,
2452659.0444,<14.8,,,Vis.,PEX,,,,,,,,Z,,,,V1341 LMC,,STD,,,,
2452660.0681,<14.8,,,Vis.,PEX,,,,,,,,Z,,,,V1341 LMC,,STD,,,,
2452666.0451,<13.8,,,Vis.,PEX,,,,,,,,Z,,,,V1341 LMC,,STD,,,,
2452696.9806,<14.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2452700.9465,<14.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2452762.9299,<14.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2452762.9589,<14.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2452958.0243,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453037.0617,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453056.0194,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453064.9903,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453084.0479,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453087.9854,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453088.0271,<15.0,,,Vis.,PEX,,,,,,,,Z,,,,V1341 LMC,,STD,,,,
2453088.9472,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453094.0444,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453094.9806,<14.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453095.9743,<14.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453104.9493,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453112.9667,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453113.9465,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453119.9833,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453127.9493,<13.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453313.0194,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453322.0021,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453323.9576,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453324.9589,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453334.9944,<13.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453335.9667,<13.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453381.991,<14.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453382.0097,<14.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453405.1132,<14.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453407.0486,<14.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453407.9826,<14.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453435.9819,<14.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453441.0153,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453442.9389,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453443.9729,<14.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453461.9819,<14.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453479.9375,<13.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453482.8917,<13.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453498.9451,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453671.0361,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453714.1201,<15.0,,,Vis.,PEX,,,,,,,,Z,,,,V1341 LMC,,STD,,,,
2453841.9347,<13.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453859.941,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453861.9292,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2453883.9049,<14.5,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2454030.9819,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2454057.9972,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2454088.0118,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2454095.0313,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2454145.9757,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2454170.0403,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
2454175.0104,<14.0,,,Vis.,WPX,,NA,,NA,,,,Z,,,,V1341 LMC,VSS,STD,,,,
