Re,UA_W_K,actual_flow_mL_s,average_outlet_C,coil_diameter_cm,coil_height_cm,final_ice_remaining_g,final_outlet_C,max_gravity_flow_mL_s,outer_h_W_m2K,prechill_tube_enabled,pressure_ratio_requested,requested_flow_mL_s,residence_time_s,rod_enabled,target_outlet_C,tube_length_m,turns,warning_count,warnings,cold_enough,gravity_ok,ice_ok,warnings_ok,length_ok,passes_practical_filter,design_score
928.5597914524924,23.565402634730823,2.0,4.932832524012177,11.0,11.429999999999998,705.8625768516654,4.932832524012177,6.535500169063611,1200.0,False,0.0973686664902134,2.0,34.0236572660019,True,5.0,4.148477214407486,12.0,1,Center rod is modeled as not touching coffee. Do not let brass/copper contact the coffee directly.,True,True,True,True,True,True,7.492821165932577
928.4621830258408,23.58551995174616,2.0,4.920861456808793,6.0,20.954999999999995,705.8180100511377,4.920861456808798,6.532393863950438,1200.0,False,0.097449098495047,2.0,34.05413537316438,True,5.0,4.152193385544331,22.0,1,Center rod is modeled as not touching coffee. Do not let brass/copper contact the coffee directly.,True,True,True,True,True,True,7.506897213082192
928.932143491587,23.489164135563588,2.0,4.978495473007574,7.5,17.145,702.0898496736529,4.978495473007553,6.456379088562216,1200.0,False,0.0994494331390174,2.0,34.81212236809161,False,5.0,4.244614131282766,18.0,0,,True,True,True,True,True,True,2.501613804331568
926.1105918649336,24.085796121120318,2.0,4.632330843905793,7.5,17.145,704.7438463151232,4.632330843905812,6.456379088562216,1200.0,False,0.0994494331390174,2.0,34.81212236809161,True,5.0,4.244614131282766,18.0,1,Center rod is modeled as not touching coffee. Do not let brass/copper contact the coffee directly.,True,True,True,True,True,True,7.84777843343335
922.256404939174,24.97838813228973,2.0,4.1589263592355765,9.0,15.239999999999998,699.03869537044,4.158926359235571,6.238317964734995,1200.0,False,0.1055496377798874,2.0,37.12367348685653,False,5.0,4.52645970335525,16.0,0,,True,True,True,True,True,True,3.480830914737635
919.768206330512,25.611002364398093,2.0,3.852964527323492,9.0,15.239999999999998,701.842362046554,3.852964527323483,6.238317964734995,1200.0,False,0.1055496377798874,2.0,37.12367348685653,True,5.0,4.52645970335525,16.0,1,Center rod is modeled as not touching coffee. Do not let brass/copper contact the coffee directly.,True,True,True,True,True,True,8.78679274664972
922.1872625375426,24.995323710132528,2.0,4.15042786293833,6.0,22.86,699.007056521316,4.150427862938322,6.235949117920804,1200.0,False,0.1056190235984982,2.0,37.149965861633866,False,5.0,4.529665511502907,24.0,0,,True,True,True,True,True,True,3.4911453020726695
919.7026617396946,25.628347106238447,2.0,3.844901201290268,6.0,22.86,701.8123432824128,3.8449012012902632,6.235949117920804,1200.0,False,0.1056190235984982,2.0,37.149965861633866,True,5.0,4.529665511502907,24.0,1,Center rod is modeled as not touching coffee. Do not let brass/copper contact the coffee directly.,True,True,True,True,True,True,8.796671963720732
918.400444032162,25.980825351417284,2.0,3.684663109194806,7.5,19.05,697.2730720302125,3.6846631091948105,6.102068719428877,1200.0,False,0.1096571565592323,2.0,38.68013596454623,False,5.0,4.716237923647518,20.0,0,,True,True,True,True,True,True,4.062591729674148
928.160077303407,23.64832425985098,2.0,4.883807500983196,7.5,19.05,705.6800627629063,4.883807500983203,6.102068719428877,750.0,False,0.1096571565592323,2.0,38.68013596454623,True,5.0,4.716237923647518,20.0,1,Center rod is modeled as not touching coffee. Do not let brass/copper contact the coffee directly.,True,True,True,True,True,True,7.863447337885758
