Re,UA_W_K,actual_flow_mL_s,average_outlet_C,coil_diameter_cm,coil_height_cm,final_ice_remaining_g,final_outlet_C,max_gravity_flow_mL_s,outer_h_W_m2K,prechill_tube_enabled,pressure_ratio_requested,requested_flow_mL_s,residence_time_s,rod_enabled,target_outlet_C,tube_length_m,turns,warning_count,warnings,cold_enough,gravity_ok,ice_ok,warnings_ok,length_ok,passes_practical_filter,design_score
928.932143491587,23.489164135563588,2.0,4.978495473007574,7.5,17.145,702.0898496736529,4.978495473007553,6.456379088562216,1200.0,False,0.0994494331390174,2.0,34.81212236809161,False,5.0,4.244614131282766,18.0,0,,True,True,True,True,True,True,2.501613804331568
927.8219338204032,23.718998272812865,2.0,4.842328829270044,6.0,24.765,701.5829181238877,4.842328829270062,5.972696066817285,750.0,False,0.1137889487019494,2.0,40.24579635010336,False,5.0,4.907137637461483,26.0,0,,True,True,True,True,True,True,3.0130588308609694
922.256404939174,24.97838813228973,2.0,4.1589263592355765,9.0,15.239999999999998,699.03869537044,4.158926359235571,6.238317964734995,1200.0,False,0.1055496377798874,2.0,37.12367348685653,False,5.0,4.52645970335525,16.0,0,,True,True,True,True,True,True,3.480830914737635
922.1872625375426,24.995323710132528,2.0,4.15042786293833,6.0,22.86,699.007056521316,4.150427862938322,6.235949117920804,1200.0,False,0.1056190235984982,2.0,37.149965861633866,False,5.0,4.529665511502907,24.0,0,,True,True,True,True,True,True,3.4911453020726695
923.915480268584,24.582394074578342,2.0,4.362786466791946,9.0,17.145,699.7976413018738,4.36278646679196,5.853949981057689,750.0,False,0.1177958522077378,2.0,41.76413267271359,False,5.0,5.092267166274656,18.0,0,,True,True,True,True,True,True,3.5974655634815615
922.0543908109112,25.02816313430593,2.0,4.134095628809325,7.5,20.954999999999995,698.9462536364779,4.134095628809344,5.795037607868046,750.0,False,0.1198648799794471,2.0,42.548149561000855,False,5.0,5.18786171601227,22.0,0,,True,True,True,True,True,True,3.88030477158944
918.400444032162,25.980825351417284,2.0,3.684663109194806,7.5,19.05,697.2730720302125,3.6846631091948105,6.102068719428877,1200.0,False,0.1096571565592323,2.0,38.68013596454623,False,5.0,4.716237923647518,20.0,0,,True,True,True,True,True,True,4.062591729674148
920.2714318510332,25.479272713701697,2.0,3.914865360758736,6.0,26.669999999999995,698.1300865011855,3.914865360758758,5.736987764302661,750.0,False,0.1219588738054005,2.0,43.34162683857285,False,5.0,5.284609763420058,28.0,0,,True,True,True,True,True,True,4.1543367944922895
916.1307447951576,26.63385132891997,2.0,3.405199768770515,11.0,13.334999999999996,696.2326646266217,3.4051997687705096,6.017435030554164,1200.0,False,0.1123334571790683,2.0,39.69426681033554,False,5.0,4.8398900834754,14.0,0,,True,True,True,True,True,True,4.412096332236558
914.970328645369,26.98895779447616,2.0,3.262233167089506,6.0,24.765,695.700417675609,3.262233167089524,5.972696066817285,1200.0,False,0.1137889487019494,2.0,40.24579635010336,False,5.0,4.907137637461483,26.0,0,,True,True,True,True,True,True,4.593154493041507
916.146244796149,26.62937255301344,2.0,3.4071090144056546,11.0,15.239999999999998,696.2397725116523,3.407109014405639,5.595682924443088,750.0,False,0.1272982478679233,2.0,45.36487635466919,False,5.0,5.531302952543315,16.0,0,,True,True,True,True,True,True,4.801829497663738
912.023817615998,27.9664200713762,2.0,2.8989487820267783,9.0,17.145,694.3479549044442,2.8989487820267748,5.853949981057689,1200.0,False,0.1177958522077378,2.0,41.76413267271359,False,5.0,5.092267166274656,18.0,0,,True,True,True,True,True,True,5.0613032482467295
914.2413814291732,27.220306020583887,2.0,3.172394582764247,9.0,19.05,695.365959753085,3.172394582764233,5.52657314876492,750.0,False,0.1300420666355882,2.0,46.40459185857066,False,5.0,5.658074629194062,20.0,0,,True,True,True,True,True,True,5.108352203809557
914.2209452618458,27.226882388561183,2.0,3.1698756055131083,7.5,22.86,695.3565819127751,3.169875605513123,5.525816691441078,750.0,False,0.130072603399662,2.0,46.416163157455486,False,5.0,5.659485508377022,24.0,0,,True,True,True,True,True,True,5.111670356415469
